NIAB_Plot_2014,W8,NPPC code,location,treatment,rep,barcode,genotype,control,type,idtype
110,MEL 034-4,46,1,1,2,W8-046112,MEL 034-4,0,2,RIL
114,MEL 035-1,47,1,1,1,W8-047111,MEL 035-1,0,2,RIL
114,MEL 035-1,47,1,1,2,W8-047112,MEL 035-1,0,2,RIL
119,MEL 036-1b,48,1,1,1,W8-048111,MEL 036-1b,0,2,RIL
119,MEL 036-1b,48,1,1,2,W8-048112,MEL 036-1b,0,2,RIL
124,MEL 037-1a,49,1,1,1,W8-049111,MEL 037-1a,0,2,RIL
124,MEL 037-1a,49,1,1,2,W8-049112,MEL 037-1a,0,2,RIL
126,MEL 038-1a,50,1,1,1,W8-050111,MEL 038-1a,0,2,RIL
126,MEL 038-1a,50,1,1,2,W8-050112,MEL 038-1a,0,2,RIL
845,MEL 039-1a,51,1,1,1,W8-051111,MEL 039-1a,0,2,RIL
845,MEL 039-1a,51,1,1,2,W8-051112,MEL 039-1a,0,2,RIL
129,MEL 040-1c,52,1,1,1,W8-052111,MEL 040-1c,0,2,RIL
129,MEL 040-1c,52,1,1,2,W8-052112,MEL 040-1c,0,2,RIL
846,MEL 040-2b,53,1,1,1,W8-053111,MEL 040-2b,0,2,RIL
846,MEL 040-2b,53,1,1,2,W8-053112,MEL 040-2b,0,2,RIL
130,MEL 040-2c,54,1,1,1,W8-054111,MEL 040-2c,0,2,RIL
130,MEL 040-2c,54,1,1,2,W8-054112,MEL 040-2c,0,2,RIL
847,MEL 041-1a,55,1,1,1,W8-055111,MEL 041-1a,0,2,RIL
847,MEL 041-1a,55,1,1,2,W8-055112,MEL 041-1a,0,2,RIL
133,MEL 042-1b,56,1,1,1,W8-056111,MEL 042-1b,0,2,RIL
133,MEL 042-1b,56,1,1,2,W8-056112,MEL 042-1b,0,2,RIL
134,MEL 043-1,57,1,1,1,W8-057111,MEL 043-1,0,2,RIL
134,MEL 043-1,57,1,1,2,W8-057112,MEL 043-1,0,2,RIL
141,MEL 044a-1,58,1,1,1,W8-058111,MEL 044a-1,0,2,RIL
141,MEL 044a-1,58,1,1,2,W8-058112,MEL 044a-1,0,2,RIL
852,MEL 045-1a,59,1,1,1,W8-059111,MEL 045-1a,0,2,RIL
852,MEL 045-1a,59,1,1,2,W8-059112,MEL 045-1a,0,2,RIL
146,MEL 046-1,60,1,1,1,W8-060111,MEL 046-1,0,2,RIL
146,MEL 046-1,60,1,1,2,W8-060112,MEL 046-1,0,2,RIL
148,MEL 046-7,61,1,1,1,W8-061111,MEL 046-7,0,2,RIL
148,MEL 046-7,61,1,1,2,W8-061112,MEL 046-7,0,2,RIL
152,MEL 048-1a,62,1,1,1,W8-062111,MEL 048-1a,0,2,RIL
152,MEL 048-1a,62,1,1,2,W8-062112,MEL 048-1a,0,2,RIL
155,MEL 049-2,63,1,1,1,W8-063111,MEL 049-2,0,2,RIL
155,MEL 049-2,63,1,1,2,W8-063112,MEL 049-2,0,2,RIL
158,MEL 050-1,64,1,1,1,W8-064111,MEL 050-1,0,2,RIL
158,MEL 050-1,64,1,1,2,W8-064112,MEL 050-1,0,2,RIL
863,MEL 051-1c,65,1,1,1,W8-065111,MEL 051-1c,0,2,RIL
863,MEL 051-1c,65,1,1,2,W8-065112,MEL 051-1c,0,2,RIL
162,MEL 052-1,66,1,1,1,W8-066111,MEL 052-1,0,2,RIL
162,MEL 052-1,66,1,1,2,W8-066112,MEL 052-1,0,2,RIL
167,MEL 053-1a,67,1,1,1,W8-067111,MEL 053-1a,0,2,RIL
167,MEL 053-1a,67,1,1,2,W8-067112,MEL 053-1a,0,2,RIL
170,MEL 054-1,68,1,1,1,W8-068111,MEL 054-1,0,2,RIL
170,MEL 054-1,68,1,1,2,W8-068112,MEL 054-1,0,2,RIL
175,MEL 055-1a,69,1,1,1,W8-069111,MEL 055-1a,0,2,RIL
175,MEL 055-1a,69,1,1,2,W8-069112,MEL 055-1a,0,2,RIL
177,MEL 056-1,70,1,1,1,W8-070111,MEL 056-1,0,2,RIL
177,MEL 056-1,70,1,1,2,W8-070112,MEL 056-1,0,2,RIL
182,MEL 057-1a,71,1,1,1,W8-071111,MEL 057-1a,0,2,RIL
182,MEL 057-1a,71,1,1,2,W8-071112,MEL 057-1a,0,2,RIL
185,MEL 058-1,72,1,1,1,W8-072111,MEL 058-1,0,2,RIL
185,MEL 058-1,72,1,1,2,W8-072112,MEL 058-1,0,2,RIL
190,MEL 059-1a,73,1,1,1,W8-073111,MEL 059-1a,0,2,RIL
190,MEL 059-1a,73,1,1,2,W8-073112,MEL 059-1a,0,2,RIL
196,MEL 060-1a,74,1,1,1,W8-074111,MEL 060-1a,0,2,RIL
196,MEL 060-1a,74,1,1,2,W8-074112,MEL 060-1a,0,2,RIL
201,MEL 061-1,75,1,1,1,W8-075111,MEL 061-1,0,2,RIL
201,MEL 061-1,75,1,1,2,W8-075112,MEL 061-1,0,2,RIL
205,MEL 062-1a,76,1,1,1,W8-076111,MEL 062-1a,0,2,RIL
205,MEL 062-1a,76,1,1,2,W8-076112,MEL 062-1a,0,2,RIL
208,MEL 063a-1,77,1,1,1,W8-077111,MEL 063a-1,0,2,RIL
208,MEL 063a-1,77,1,1,2,W8-077112,MEL 063a-1,0,2,RIL
211,MEL 064-1a,78,1,1,1,W8-078111,MEL 064-1a,0,2,RIL
211,MEL 064-1a,78,1,1,2,W8-078112,MEL 064-1a,0,2,RIL
874,MEL 065-1b,79,1,1,1,W8-079111,MEL 065-1b,0,2,RIL
874,MEL 065-1b,79,1,1,2,W8-079112,MEL 065-1b,0,2,RIL
875,MEL 066-1a,80,1,1,1,W8-080111,MEL 066-1a,0,2,RIL
875,MEL 066-1a,80,1,1,2,W8-080112,MEL 066-1a,0,2,RIL
755,MEL 070-1a,81,1,1,1,W8-081111,MEL 070-1a,0,2,RIL
755,MEL 070-1a,81,1,1,2,W8-081112,MEL 070-1a,0,2,RIL
221,MEL 071-1a,82,1,1,1,W8-082111,MEL 071-1a,0,2,RIL
221,MEL 071-1a,82,1,1,2,W8-082112,MEL 071-1a,0,2,RIL
227,MEL 072-1a,83,1,1,1,W8-083111,MEL 072-1a,0,2,RIL
227,MEL 072-1a,83,1,1,2,W8-083112,MEL 072-1a,0,2,RIL
879,MEL 073-1,84,1,1,1,W8-084111,MEL 073-1,0,2,RIL
879,MEL 073-1,84,1,1,2,W8-084112,MEL 073-1,0,2,RIL
238,MEL 074-1,85,1,1,1,W8-085111,MEL 074-1,0,2,RIL
238,MEL 074-1,85,1,1,2,W8-085112,MEL 074-1,0,2,RIL
882,MEL 075-1a,86,1,1,1,W8-086111,MEL 075-1a,0,2,RIL
882,MEL 075-1a,86,1,1,2,W8-086112,MEL 075-1a,0,2,RIL
757,MEL 076-1c,87,1,1,1,W8-087111,MEL 076-1c,0,2,RIL
757,MEL 076-1c,87,1,1,2,W8-087112,MEL 076-1c,0,2,RIL
248,MEL 077-3,88,1,1,1,W8-088111,MEL 077-3,0,2,RIL
248,MEL 077-3,88,1,1,2,W8-088112,MEL 077-3,0,2,RIL
253,MEL 078-1bA,89,1,1,1,W8-089111,MEL 078-1bA,0,2,RIL
253,MEL 078-1bA,89,1,1,2,W8-089112,MEL 078-1bA,0,2,RIL
256,MEL 081-1a,90,1,1,1,W8-090111,MEL 081-1a,0,2,RIL
256,MEL 081-1a,90,1,1,2,W8-090112,MEL 081-1a,0,2,RIL
260,MEL 082-1a,91,1,1,1,W8-091111,MEL 082-1a,0,2,RIL
260,MEL 082-1a,91,1,1,2,W8-091112,MEL 082-1a,0,2,RIL
263,MEL 083-1,92,1,1,1,W8-092111,MEL 083-1,0,2,RIL
263,MEL 083-1,92,1,1,2,W8-092112,MEL 083-1,0,2,RIL
264,MEL 084-1,93,1,1,1,W8-093111,MEL 084-1,0,2,RIL
264,MEL 084-1,93,1,1,2,W8-093112,MEL 084-1,0,2,RIL
268,MEL 085-1b,94,1,1,1,W8-094111,MEL 085-1b,0,2,RIL
268,MEL 085-1b,94,1,1,2,W8-094112,MEL 085-1b,0,2,RIL
898,MEL 086-1,95,1,1,1,W8-095111,MEL 086-1,0,2,RIL
898,MEL 086-1,95,1,1,2,W8-095112,MEL 086-1,0,2,RIL
761,MEL 087-1a,96,1,1,1,W8-096111,MEL 087-1a,0,2,RIL
761,MEL 087-1a,96,1,1,2,W8-096112,MEL 087-1a,0,2,RIL
274,MEL 088-1,97,1,1,1,W8-097111,MEL 088-1,0,2,RIL
274,MEL 088-1,97,1,1,2,W8-097112,MEL 088-1,0,2,RIL
279,MEL 089-1a,98,1,1,1,W8-098111,MEL 089-1a,0,2,RIL
279,MEL 089-1a,98,1,1,2,W8-098112,MEL 089-1a,0,2,RIL
282,MEL 090-1a,99,1,1,1,W8-099111,MEL 090-1a,0,2,RIL
282,MEL 090-1a,99,1,1,2,W8-099112,MEL 090-1a,0,2,RIL
284,MEL 091-1a,100,1,1,1,W8-100111,MEL 091-1a,0,2,RIL
284,MEL 091-1a,100,1,1,2,W8-100112,MEL 091-1a,0,2,RIL
289,MEL 092-1,101,1,1,1,W8-101111,MEL 092-1,0,2,RIL
289,MEL 092-1,101,1,1,2,W8-101112,MEL 092-1,0,2,RIL
911,MEL 093-1,102,1,1,1,W8-102111,MEL 093-1,0,2,RIL
911,MEL 093-1,102,1,1,2,W8-102112,MEL 093-1,0,2,RIL
299,MEL 094-1c,103,1,1,1,W8-103111,MEL 094-1c,0,2,RIL
299,MEL 094-1c,103,1,1,2,W8-103112,MEL 094-1c,0,2,RIL
302,MEL 095-1,104,1,1,1,W8-104111,MEL 095-1,0,2,RIL
302,MEL 095-1,104,1,1,2,W8-104112,MEL 095-1,0,2,RIL
307,MEL 096-1a,105,1,1,1,W8-105111,MEL 096-1a,0,2,RIL
307,MEL 096-1a,105,1,1,2,W8-105112,MEL 096-1a,0,2,RIL
312,MEL 097-1,106,1,1,1,W8-106111,MEL 097-1,0,2,RIL
312,MEL 097-1,106,1,1,2,W8-106112,MEL 097-1,0,2,RIL
317,MEL 098-1,107,1,1,1,W8-107111,MEL 098-1,0,2,RIL
317,MEL 098-1,107,1,1,2,W8-107112,MEL 098-1,0,2,RIL
321,MEL 099-2,108,1,1,1,W8-108111,MEL 099-2,0,2,RIL
321,MEL 099-2,108,1,1,2,W8-108112,MEL 099-2,0,2,RIL
921,MEL 100-1a,109,1,1,1,W8-109111,MEL 100-1a,0,2,RIL
921,MEL 100-1a,109,1,1,2,W8-109112,MEL 100-1a,0,2,RIL
327,MEL 101-1,110,1,1,1,W8-110111,MEL 101-1,0,2,RIL
327,MEL 101-1,110,1,1,2,W8-110112,MEL 101-1,0,2,RIL
331,MEL 102-1,111,1,1,1,W8-111111,MEL 102-1,0,2,RIL
331,MEL 102-1,111,1,1,2,W8-111112,MEL 102-1,0,2,RIL
335,MEL 103-1,112,1,1,1,W8-112111,MEL 103-1,0,2,RIL
335,MEL 103-1,112,1,1,2,W8-112112,MEL 103-1,0,2,RIL
928,MEL 104-1,113,1,1,1,W8-113111,MEL 104-1,0,2,RIL
928,MEL 104-1,113,1,1,2,W8-113112,MEL 104-1,0,2,RIL
339,MEL 104-2,114,1,1,1,W8-114111,MEL 104-2,0,2,RIL
339,MEL 104-2,114,1,1,2,W8-114112,MEL 104-2,0,2,RIL
343,MEL 105-1,115,1,1,1,W8-115111,MEL 105-1,0,2,RIL
343,MEL 105-1,115,1,1,2,W8-115112,MEL 105-1,0,2,RIL
346,MEL 106a-1,116,1,1,1,W8-116111,MEL 106a-1,0,2,RIL
346,MEL 106a-1,116,1,1,2,W8-116112,MEL 106a-1,0,2,RIL
349,MEL 107-1a,117,1,1,1,W8-117111,MEL 107-1a,0,2,RIL
349,MEL 107-1a,117,1,1,2,W8-117112,MEL 107-1a,0,2,RIL
351,MEL 108-1,118,1,1,1,W8-118111,MEL 108-1,0,2,RIL
351,MEL 108-1,118,1,1,2,W8-118112,MEL 108-1,0,2,RIL
937,MEL 109-1,119,1,1,1,W8-119111,MEL 109-1,0,2,RIL
937,MEL 109-1,119,1,1,2,W8-119112,MEL 109-1,0,2,RIL
940,MEL 110-1a,120,1,1,1,W8-120111,MEL 110-1a,0,2,RIL
940,MEL 110-1a,120,1,1,2,W8-120112,MEL 110-1a,0,2,RIL
360,MEL 111-1,121,1,1,1,W8-121111,MEL 111-1,0,2,RIL
360,MEL 111-1,121,1,1,2,W8-121112,MEL 111-1,0,2,RIL
365,MEL 112-1a,122,1,1,1,W8-122111,MEL 112-1a,0,2,RIL
365,MEL 112-1a,122,1,1,2,W8-122112,MEL 112-1a,0,2,RIL
368,MEL 113-1a,123,1,1,1,W8-123111,MEL 113-1a,0,2,RIL
368,MEL 113-1a,123,1,1,2,W8-123112,MEL 113-1a,0,2,RIL
372,MEL 114-1,124,1,1,1,W8-124111,MEL 114-1,0,2,RIL
372,MEL 114-1,124,1,1,2,W8-124112,MEL 114-1,0,2,RIL
376,MEL 115-1,125,1,1,1,W8-125111,MEL 115-1,0,2,RIL
376,MEL 115-1,125,1,1,2,W8-125112,MEL 115-1,0,2,RIL
380,MEL 116-2,126,1,1,1,W8-126111,MEL 116-2,0,2,RIL
380,MEL 116-2,126,1,1,2,W8-126112,MEL 116-2,0,2,RIL
384,MEL 117-2,127,1,1,1,W8-127111,MEL 117-2,0,2,RIL
384,MEL 117-2,127,1,1,2,W8-127112,MEL 117-2,0,2,RIL
957,MEL 118-1a,128,1,1,1,W8-128111,MEL 118-1a,0,2,RIL
957,MEL 118-1a,128,1,1,2,W8-128112,MEL 118-1a,0,2,RIL
391,MEL 119-1,129,1,1,1,W8-129111,MEL 119-1,0,2,RIL
391,MEL 119-1,129,1,1,2,W8-129112,MEL 119-1,0,2,RIL
395,MEL 120-3,130,1,1,1,W8-130111,MEL 120-3,0,2,RIL
395,MEL 120-3,130,1,1,2,W8-130112,MEL 120-3,0,2,RIL
399,MEL 121-1a,131,1,1,1,W8-131111,MEL 121-1a,0,2,RIL
